ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,metodo,nota
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 6 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8944381,-37.1537357,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 7 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8946267,-37.1546283,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 9 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8942888,-37.1539751,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 10 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8955163,-37.1520439,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 11 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8961647,-37.1520633,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 12 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8465636,-37.069999,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 13 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.9003407,-37.1570744,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 14 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8450307,-37.0684573,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Praça 16 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8411434,-37.0945635,google_api,encontrado_ROOFTOP
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida Rosa de Maio, Guajará, Nossa Senhora do Socorro - SE",-10.8912445,-37.1524363,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 9, Guajará, Nossa Senhora do Socorro - SE",-10.901548,-37.1542648,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 11, Guajará, Nossa Senhora do Socorro - SE",-10.8989331,-37.155646,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 10, Guajará, Nossa Senhora do Socorro - SE",-10.8548099,-37.079663,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 8, Guajará, Nossa Senhora do Socorro - SE",-10.8998338,-37.1575922,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 4, Guajará, Nossa Senhora do Socorro - SE",-10.893061,-37.1600189,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Existente, Guajará, Nossa Senhora do Socorro - SE",-10.9516479,-37.0927638,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Avenida Principal, Guajará, Nossa Senhora do Socorro - SE",-10.8987421,-37.1568506,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Padre Cícero, Guajará, Nossa Senhora do Socorro - SE",-10.898298,-37.1568661,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Padre Cícero, Guajará, Nossa Senhora do Socorro - SE",-10.8979698,-37.156876,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua São Luiz, Guajará, Nossa Senhora do Socorro - SE",-10.8983495,-37.1564517,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua B, Guajará, Nossa Senhora do Socorro - SE",-10.8999085,-37.1436603,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Treze, Guajará, Nossa Senhora do Socorro - SE",-10.9003407,-37.1570744,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Otto, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua E, Guajará, Nossa Senhora do Socorro - SE",-10.8993287,-37.1586914,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Profeta Eliseu, Guajará, Nossa Senhora do Socorro - SE",-10.9000521,-37.1594478,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Jorge Amado, Guajará, Nossa Senhora do Socorro - SE",-10.9026273,-37.1441411,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua J. Emílio de Carvalho, Guajará, Nossa Senhora do Socorro - SE",-10.8995163,-37.1546577,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Joze Aloisio da Silva, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Elias Almeida, Guajará, Nossa Senhora do Socorro - SE",-10.9044721,-37.1503541,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Antonio Torres, Guajará, Nossa Senhora do Socorro - SE",-10.9186794,-37.0669665,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Jucelino Emilio, Guajará, Nossa Senhora do Socorro - SE",-10.8995163,-37.1546577,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Humberto Silva, Guajará, Nossa Senhora do Socorro - SE",-10.9021234,-37.149726,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Ezequiel Cardoso, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,manual,coordenada_bairro_verificar
