endereco_original,latitude,longitude,location_type,formatted_address,metodo
"Rua B (Jardim Esperança), Sao Braz, Nossa Senhora do Socorro - SE",-10.8447381,-37.0512203,GEOMETRIC_CENTER,"R. B Jardim Esperança - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 09, Sao Braz, Nossa Senhora do Socorro - SE",-10.8494823,-37.0521895,GEOMETRIC_CENTER,"R. Caeté - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 03, Sao Braz, Nossa Senhora do Socorro - SE",-10.8534024,-37.0549626,ROOFTOP,"Av. Manoel Pedro dos Santos Neto, S/N - São Brás, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Rua 02, Sao Braz, Nossa Senhora do Socorro - SE",-10.9004124,-37.1001707,GEOMETRIC_CENTER,"R. 02 - Olaria, Aracaju - SE, 49092-600, Brasil",google_api
"Rua Distrito Federal, Sao Braz, Nossa Senhora do Socorro - SE",-10.848655,-37.0504601,GEOMETRIC_CENTER,"R. Distrito Federal - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Minas Gerais, Sao Braz, Nossa Senhora do Socorro - SE",-10.8499216,-37.0499503,GEOMETRIC_CENTER,"R. Minas Gerais - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Novo Acesso, Sao Braz, Nossa Senhora do Socorro - SE",-10.8483834,-37.0544399,GEOMETRIC_CENTER,"R. Novo Acesso - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 07, Sao Braz, Nossa Senhora do Socorro - SE",-10.8586131,-37.0916369,GEOMETRIC_CENTER,"R. 7 - Fernando Collor, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 08, Sao Braz, Nossa Senhora do Socorro - SE",-10.8935105,-37.1278298,RANGE_INTERPOLATED,"R. Cento e Quarenta e Cinco, 8 - Santa Cecília, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Rua 09, Sao Braz, Nossa Senhora do Socorro - SE",-10.8494823,-37.0521895,GEOMETRIC_CENTER,"R. Caeté - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 10, Sao Braz, Nossa Senhora do Socorro - SE",-10.8496333,-37.0527733,GEOMETRIC_CENTER,"R. Pataxó - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 11, Sao Braz, Nossa Senhora do Socorro - SE",-10.8500062,-37.0529754,GEOMETRIC_CENTER,"R. Xocó-Guará - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 12, Sao Braz, Nossa Senhora do Socorro - SE",-10.8465636,-37.069999,GEOMETRIC_CENTER,"R. 12, Nossa Sra. do Socorro - SE, 49156-074, Brasil",google_api
"Rua 13, Sao Braz, Nossa Senhora do Socorro - SE",-10.8457075,-37.0689949,GEOMETRIC_CENTER,"R. 13, Nossa Sra. do Socorro - SE, 49156-076, Brasil",google_api
"Rua 14, Sao Braz, Nossa Senhora do Socorro - SE",-10.8706436,-37.0769102,GEOMETRIC_CENTER,"R. Quatorze - Lamarão, Aracaju - SE, 49088-150, Brasil",google_api
"Rua 15, Sao Braz, Nossa Senhora do Socorro - SE",-10.8444623,-37.0678851,GEOMETRIC_CENTER,"R. 15, Nossa Sra. do Socorro - SE, 49156-084, Brasil",google_api
"Rua Bras, Sao Braz, Nossa Senhora do Socorro - SE",-10.8534024,-37.0549626,ROOFTOP,"Av. Manoel Pedro dos Santos Neto, S/N - São Brás, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Rua Diego Emerson, Sao Braz, Nossa Senhora do Socorro - SE",-10.8455629,-37.0503647,GEOMETRIC_CENTER,"Rua Diego Emerson - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Av. Eng. Luciano Galvão, Sao Braz, Nossa Senhora do Socorro - SE",-10.8505377,-37.0521436,GEOMETRIC_CENTER,"Av. Eng. Luciano Santana Galvão - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua D3, Sao Braz, Nossa Senhora do Socorro - SE",-10.8329192,-37.052885,GEOMETRIC_CENTER,"Rua D 3 - Piabeta, Nossa Sra. do Socorro - SE, Brasil",google_api
