ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,fonte,confianca
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua São Luiz, Guajará, Nossa Senhora do Socorro - SE",-10.8979901,-37.1564669,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua B, Guajará, Nossa Senhora do Socorro - SE",-10.8998799,-37.1436621,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Treze, Guajará, Nossa Senhora do Socorro - SE",-10.900148,-37.1570607,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua E, Guajará, Nossa Senhora do Socorro - SE",-10.8884847,-37.1603487,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Elias Almeida, Guajará, Nossa Senhora do Socorro - SE",-10.9044806,-37.1503577,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Humberto Silva, Guajará, Nossa Senhora do Socorro - SE",-10.9020674,-37.1496593,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua F, Guajará, Nossa Senhora do Socorro - SE",-10.8975853,-37.1607981,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua H, Guajará, Nossa Senhora do Socorro - SE",-10.8964999,-37.1607673,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua G, Guajará, Nossa Senhora do Socorro - SE",-10.8970504,-37.1608473,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Santa Barbara, Guajará, Nossa Senhora do Socorro - SE",-10.8988931,-37.1449513,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa I, Guajará, Nossa Senhora do Socorro - SE",-10.9026084,-37.1494478,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa E, Guajará, Nossa Senhora do Socorro - SE",-10.8945068,-37.1466179,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua K, Guajará, Nossa Senhora do Socorro - SE",-10.8973081,-37.1493293,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua C, Guajará, Nossa Senhora do Socorro - SE",-10.899829,-37.1609723,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Balbino José, Guajará, Nossa Senhora do Socorro - SE",-10.8974435,-37.1500706,nominatim,alta
